Original,Mapped_name
Journal of Clinical Investigation,Journal of Clinical Investigation
Journal of Comparative Economics,Journal of Comparative Economics
Journal of Conflict Resolution,Journal of Conflict Resolution
Journal of Contextual Economics – Schmollers Jahrbuch,Journal of Contextual Economics – Schmollers Jahrbuch
Journal of Crohns and Colitis,Journal of Crohns and Colitis
Journal of Curriculum Studies,Journal of Curriculum Studies
Journal of Democracy,Journal of Democracy
Journal of Development Economics,Journal of Development Economics
Journal of Developmental and Behavioral Pediatrics,Journal of Developmental and Behavioral Pediatrics
Journal of Developmental Origins of Health and Disease,Journal of Developmental Origins of Health and Disease
Journal of Diabetes Reserach,Journal of Diabetes Reserach
Journal of Econometrics,Journal of Econometrics
Journal of Economic Behavior & Organization,Journal of Economic Behavior & Organization
Journal of Economic Criminology,Journal of Economic Criminology
Journal of Economic Dynamics and Control,Journal of Economic Dynamics and Control
Journal of Economic Education,Journal of Economic Education
Journal of Economic Literature,Journal of Economic Literature
Journal of Economic Methodology,Journal of Economic Methodology
Journal of Economic Perspective,Journal of Economic Perspectives
Journal of Economic Perspectives,Journal of Economic Perspectives
Journal of Economic Theory,Journal of Economic Theory
Journal of Economics,Journal of Economics
Journal of Economics and Business,Journal of Economics and Business
Journal of Education,Journal of Education
Journal of Educational and Behavioral Statistics,Journal of Educational and Behavioral Statistics
Journal of Educational Measurement,Journal of Educational Measurement
Journal of Educational Psychology,Journal of Educational Psychology
Journal of Elections,Journal of Elections
Journal of Empirical Finance,Journal of Empirical Finance
Journal of Epidemiology and Community Health,Journal of Epidemiology and Community Health
Journal of Experimental Child Psychology,Journal of Experimental Child Psychology
Journal of Family Psychology,Journal of Family Psychology
Journal of Financial Economics,Journal of Financial Economics
Journal of General Internal Medicine,Journal of General Internal Medicine
Journal of Global Health,Journal of Global Health
Journal of Global Security Studies,Journal of Global Security Studies
Journal of Health Care for the Poor and Underserved,Journal of Health Care for the Poor and Underserved
Journal of Health Economics,Journal of Health Economics
"Journal of Health Politics, Policy and Law","Journal of Health Politics, Policy and Law"
"Journal of Health, Population, and Nutrition","Journal of Health, Population, and Nutrition"
Journal of Human Capital,Journal of Human Capital
Journal of Human Hypertension,Journal of Human Hypertension
Journal of Human Resources,Journal of Human Resources
Journal of Infectious Diseases,Journal of Infectious Diseases
Journal of Innovation & Knowledge,Journal of Innovation & Knowledge
Journal of Intellectual Capital,Journal of Intellectual Capital
Journal of Internal Medicine,Journal of Internal Medicine
Journal of International Economics,Journal of International Economics
Journal of International Economics ,Journal of International Economics
Journal of International Money and Finance,Journal of International Money and Finance
Journal of Japanese Studies,Journal of Japanese Studies
Journal of Labor Economics,Journal of Labor Economics
Journal of Law Economics,Journal of Law Economics
"Journal of Law, Economics & Organization","Journal of Law, Economics and Organization"
"Journal of Law, Economics and Organization","Journal of Law, Economics and Organization"
Journal of Learning Analytics,Journal of Learning Analytics
Journal of Medical Internet Research,Journal of Medical Internet Research
Journal of Microbiology,Journal of Microbiology
Journal of Monetary Economics,Journal of Monetary Economics
Journal of Nutrition,Journal of Nutrition
Journal of Oral Maxillofacial,Journal of Oral and Maxillofacial Surgery
Journal of Orthopaedic Science,Journal of Orthopaedic Science
Journal of Peace Research,Journal of Peace Research
Journal of Personality and Social Psychology,Journal of Personality and Social Psychology
Journal of Pharmaceutical Policy and Practice,Journal of Pharmaceutical Policy and Practice
Journal of Policy Analysis and Management,Journal of Policy Analysis and Management
"Journal of Policy Analysis and Management,",Journal of Policy Analysis and Management
Journal of Political Economy,Journal of Political Economy
Journal of Political Economy Macroeconomics,Journal of Political Economy Macroeconomics
Journal of Politics,Journal of Politics
Journal of Portfolio Management,Journal of Portfolio Management
Journal of Positive Psychology,Journal of Positive Psychology
Journal of Public Economics,Journal of Public Economics
Journal of Public Economics Plus,Journal of Public Economics Plus
Journal of Public Health,Journal of Public Health
Journal of Public Health Management and Practice,Journal of Public Health Management and Practice
Journal of Regional Science,Journal of Regional Science
Journal of Research on Educational Effectiveness,Journal of Research on Educational Effectiveness
Journal of Risk and Insurance,Journal of Risk and Insurance
Journal of Speech and Hearing Research,Journal of Speech and Hearing Research
Journal of Statistical Planning and Inference,Journal of Statistical Planning and Inference
Journal of Statistical Software,Journal of Statistical Software
Journal of Statistics,Journal of Statistics
Journal of Statistics and Data Science,Journal of Statistics and Data Science
Journal of the American College of Cardiology,Journal of the American College of Cardiology
Journal of the American Pharmacists Association,Journal of the American Pharmacists Association
Journal of the American Statistical Association,Journal of the American Statistical Association
Journal of the American Statistical Association ,Journal of the American Statistical Association
Journal of the Endocrine Society,Journal of the Endocrine Society
Journal of the European Economic Association,Journal of the European Economic Association
Journal of the Royal Statistical Society,Journal of the Royal Statistical Society
Journal of the Royal Statistical Society Series A: Statistics in Society,Journal of the Royal Statistical Society Series A: Statistics in Society
"Journal of the Royal Statistical Society, Series B","Journal of the Royal Statistical Society, Series B"
"Journal of Toxicology and Environmental Health, Part B","Journal of Toxicology and Environmental Health, Part B"
Journal of Trumatic Stress,Journal of Traumatic Stress
Journal of Urban Economics,Journal of Urban Economics
Journal of Urban Economics ,Journal of Urban Economics
Journal of Virology,Journal of Virology
Journal on Education in Emergencies,Journal on Education in Emergencies
Journal on Research in Education Effectiveness,Journal on Research in Education Effectiveness
J-Pal,J-PAL
Kathmandu University Medical Journal,Kathmandu University Medical Journal
Keynote Address for Plenary Session at Seventh Global Symposium on Health Systems Researc,Keynote Address for Plenary Session at Seventh Global Symposium on Health Systems Researc
Lancet,The Lancet
Lancet Diabetes and Endocrinology,The Lancet Diabetes and Endocrinology
Lancet Global Health,The Lancet Global Health
Lancet Planet Health,The Lancet Planet Health
Lancet Psychiatry,The Lancet Psychiatry
Lancet Public Health,The Lancet Public Health
Lancet Regional Health,The Lancet Regional Health
Lancet Regional Health West Pacific,The Lancet Regional Health West Pacific
Lancet Regional Helath Americas,The Lancet Regional Health Americas
Latin American Economic Review,Latin American Economic Review
Lebanese Center for Policy Studies,Lebanese Center for Policy Studies
Let’s Talk Development (a World Bank Blog),Let’s Talk Development
Lincoln Land Institute and Columbia Press,Lincoln Land Institute and Columbia Press
London Publishing Partnership,London Publishing Partnership
London Review of International Law,London Review of International Law
London: I.B. Tauris,I.B. Tauris
Los Angeles Times,Los Angeles Times
LSC Communications,LSC Communications
Lulu Publisher,Lulu Publisher
Malaria Journal,Malaria Journal
Management Decision,Management Decision
Management Science,Management Science
Maryland Journal of International Law,Maryland Journal of International Law
Maternal and Child Health Journal,Maternal and Child Health Journal
Maternal and Child Nutrients,Maternal and Child Nutrition
Maternal and Child Nutrition,Maternal and Child Nutrition
Medical Care,Medical Care
Medical Education,Medical Education
Medium,Medium
MedRxiv,MedRxiv
Methods,Methods
Middle East Development Journal,Middle East Development Journal
MIT Department of Economics Working Paper,MIT Department of Economics Working Paper
MIT Press,MIT Press
MIT Sloan Management Review,MIT Sloan Management Review
Molecular Cell,Molecular Cell
Molecular Plant,Molecular Plant
Monetary Authority of Signapore,Monetary Authority of Signapore
Montana Business Quarterly,Montana Business Quarterly
Movement Disorder,Movement Disorder
NACLA Report on the Americas,NACLA Report on the Americas
National Buraeu of Economics,National Bureau of Economics
National Bureau of Asian Research,National Bureau of Asian Research
National Bureau of Economic Research,National Bureau of Economic Research
National Bureau of Economic Statistics,National Bureau of Economic Statistics
National Bureau of Economics,National Bureau of Economics
National Council of Applied Economic Research,National Council of Applied Economic Research
National Interest,National Interest
Nat'l Pork Producers Council v. Ross,National Pork Producers Council v. Ross
Natural Hazard Science,Natural Hazard Science
Nature,Nature
Nature Aging,Nature Aging
Nature Climate Change,Nature Climate Change
Nature Communications,Nature Communications
Nature Food,Nature Food
Nature Human Behavior,Nature Human Behavior
Nature Human Behaviour,Nature Human Behavior
Nature Medicine,Nature Medicine
Nature Reviews,Nature Reviews
Nature Sustainability,Nature Sustainability
NBER Working Paper,NBER Working Paper Series
NBER Working Paper Series,NBER Working Paper Series
NeurIPS Document Intelligence Workshop,NeurIPS Document Intelligence Workshop
New England Journal of Medicine,New England Journal of Medicine
New Haven: Yale University Press,Yale University Press
"New Normal, New Technologies, New Financing","New Normal, New Technologies, New Financing"
New Preface for Getting Health Reform Right: A Guide to Improving Performance and Equity (Anniversary Edition),Oxford University Press
New York Review of Books,New York Review of Books
New York Times Book Review,New York Times Book Review
New York: Rowman and Littlefield,New York: Rowman and Littlefield
Nigeria Journal Of Clinical Practice,Nigeria Journal Of Clinical Practice
North-Holland Publishing Company and American Elsevier Publishing Company,North-Holland Publishing Company and American Elsevier Publishing Company
NPJ Parkinsons Disease,NPJ Parkinsons Disease
NPJ Vaccines,NPJ Vaccines
Nucleic Acids Research,Nucleic Acids Research
Nutrients,Nutrients
Nutrition Reviews,Nutrition Reviews
Obstetrics and Gynecology,Obstetrics and Gynecology
OECD,OECD
OECD Development Matters,OECD Development Matters
Omega,Omega
Open Economic Review,Open Economies Review
Open Economies Review,Open Economies Review
OpenGlobalRights,OpenGlobalRights
Organization Science,Organization Science
Organizational Behavior and Human Decision Processes,Organizational Behavior and Human Decision Processes
Otolaryngology–Head and Neck Surgery,Otolaryngology–Head and Neck Surgery
Oxford Academic,Oxford Academic
Oxford Development Studies,Oxford Development Studies
Oxford Energy Forum,Oxford Energy Forum
Oxford Press,Oxford Press
Oxford Review of Economic Policy,Oxford Review of Economic Policy
Oxford University Press,Oxford University Press
Oxford University Press.,Oxford University Press
Oxford University Press: Review of Finacial Studies,Oxford University Press: Review of Financial Studies
Oxford: Elsevier,Oxford: Elsevier
Oxforf University Press,Oxford University Press
PACE,PACE
Palgrave MacMillan,Palgrave MacMillan
Pediatrics,Pediatrics
Penguin Random House,Penguin Random House
Penguin Random House India,Penguin Random House India
"Pensamiento Educativo, Revista de Investigación 
Latinoamericana","Pensamiento Educativo, Revista de Investigación Latinoamericana"
Perspective Psychological Sciences,Perspective Psychological Sciences
Perspectives on Politics,Perspectives on Politics
Peterson Institute for International Economics Working Paper,Peterson Institute for International Economics Working Paper Series
Peterson Institute for International Economics Working Paper Series,Peterson Institute for International Economics Working Paper Series
PharmacoEconomics,PharmacoEconomics
Philosophical Transactions of the Royal Society B,Philosophical Transactions of the Royal Society B
Philosophy and Social Criticism,Philosophy and Social Criticism
Physics of Fluids,Physics of Fluids
PLOS Biology,PLOS Biology
PLOS Digital Health,PLOS Digital Health
PLOS Global Health Policy,PLOS Global Health Policy
PLOS Global Public Health,PLOS Global Public Health
PLOS Medicine,PLOS Medicine
PLOS Neglected Tropical Diseases,PLOS Neglected Tropical Diseases
PLOS ONE,PLOS ONE
Policy Research Working Paper,Policy Research Working Paper
Political Analysis,Political Analysis
Political Geography,Political Geography
Political Psychology,Political Psychology
Political Science Quarterly,Political Science Quarterly
Political Sciences,Political Sciences
Political Studies,Political Studies
Prehospital and Disaster Medicine,Prehospital and Disaster Medicine
Primary Care Diabetes,Primary Care Diabetes
Princeton  University Press,Princeton University Press
"Princeton University 
Press",Princeton University Press
Princeton University Press,Princeton University Press
Prinston University Press,Princeton University Press
Proceedings of the AAAI Conference on Artificial Intelligence,Proceedings of the AAAI Conference on Artificial Intelligence
"Proceedings of the Fifth Association for Computing Machinery on Learning @
Scale",Proceedings of the Fifth Association for Computing Machinery on Learning @Scale
Proceedings of the National Academy of Sciences,Proceedings of the National Academy of Sciences of the United States of America
Proceedings of the National Academy of Sciences of the United States of America,Proceedings of the National Academy of Sciences of the United States of America
"Proceedings of the National Academy
of Sciences",Proceedings of the National Academy of Sciences of the United States of America
Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
Proceedingsof the National Academy of Sciences of the United States of America,Proceedings of the National Academy of Sciences of the United States of America
Project Syndicate,Project Syndicate
PS: Political Science & Politics,PS: Political Science & Politics
Psychological and Cognative Scciences,Psychological and Cognitive Sciences
Psychological Science,Psychological Science
Public Affairs,Public Affairs
Public Health in Practice,Public Health in Practice
Public Health Nutrients,Public Health Nutrition
Public Health Nutrition,Public Health Nutrition
Quantitative Economics,Quantitative Economics
Quartaly Journal of Economics,Quarterly Journal of Economics
Quartely Journal of Economics,Quarterly Journal of Economics
Quarterly Journal of Economics,Quarterly Journal of Economics
Quarterly Journal of Political Science,Quarterly Journal of Political Science
Race Ethnicity and Education,Race Ethnicity and Education
RAND Journal of Economics,RAND Journal of Economics
"Rapoport Ctr. for Human Rights & Justice, Univ. Tex. Law Sch","Rapoport Center for Human Rights & Justice, University of Texas at Austin School of Law"
Reading & Writing Quarterly Internet,Reading & Writing Quarterly Internet
Reading and Writing,Reading and Writing
"Reading and Writing, An Interdisciplinary Journal",Reading and Writing
Reading Research Quarterly,Reading Research Quarterly
Reaserch policy,Research Policy
Reflections (Yale Divinity School),Reflections (Yale Divinity School)
Reflections on Methodology,Reflections on Methodology
"Regional Science and Urban 
Economics",Regional Science and Urban Economics
"Religion, Brain & Behavior","Religion, Brain & Behavior"
Remote Sensing of Environment,Remote Sensing of Environment
"Reopening the World, The Brookings Institution","Reopening the World, The Brookings Institution"
Reprod Health,Reproductive Health
Research in Economics ,Research in Economics
Research in International Business and Finance,Research in International Business and Finance
Research Policy,Research Policy
Research Policy ,Research Policy
ResearchGate,ResearchGate
Resources Policy,Resources Policy
Retrovirology,Retrovirology
Review of Development Economics,Review of Development Economics
Review of Economic Studies,Review of Economic Studies
"Review of Economics and 
Statistics",Review of Economics and Statistics
Review of Economics and Statistics,Review of Economics and Statistics
Review of Economics and Studies,Review of Economic Studies
Review of Educational Research,Review of Educational Research
Review of Finance,Review of Finance
Review of Financial Studies,Review of Financial Studies
Review of Income and Wealth,Review of Income and Wealth
Review of International Economics,Review of International Economics
Review of Philosophy and Psychology,Review of Philosophy and Psychology
Review of World Economics,Review of World Economics
Revista: Harvard Review of Latin America,Revista: Harvard Review of Latin America
Revue d’Économie Financière,Revue d’Économie Financière
Rhode Island Medical Journal,Rhode Island Medical Journal
RISE Working Paper Series,RISE Working Paper Series
Risk Analysis,Risk Analysis
Risk Management Healthcare Policy,Risk Management Healthcare Policy
Routledge,Routledge
Routledge Books,Routledge Books
Routledge Press,Routledge Press
Rowman & Littlefield Publishers,Rowman & Littlefield Publishers
Sage Journals,Sage Journals
Scandinavian Journal of Statistics,Scandinavian Journal of Statistics
Science,Science
Science Advances,Science Advances
Science and Engineering Ethics,Science and Engineering Ethics
Science Transational Medicine,Science Transational Medicine
Scientific data,Scientific Data
Scientific Reports,Scientific Reports
Self Published, 
Sense Publishers,Sense Publishers
Sexually Transmitted Diseases,Sexually Transmitted Diseases
Sharon Panulla & Stuard C. Carr,Springer Briefs
SN Computer Science,SN Computer Science
Social Forces,Social Forces
Social Psychological & Personality Science,Social Psychological & Personality Science
Social Psychological and Personality Science,Social Psychological and Personality Science
Social Psychology,Social Psychology
Social Science & Medicine,Social Science and Medicine
Social Science and Medicine,Social Science and Medicine
Social Sciences,Social Sciences
Social Sciences and Medicine,Social Science and Medicine
Sociology of Development,Sociology of Development
Sociology of Education,Sociology of Education
Southern African Journal of HIV Medicine,Southern African Journal of HIV Medicine
Springer,Springer
Springer Briefs in Education,Springer Briefs in Education
Springer International Publishing,Springer International Publishing
Springer Nature,Springer Nature
SSM - Population Health,SSM Population Health
SSM - Qualitative Research in Health,SSM - Qualitative Research in Health
SSM Population Health,SSM Population Health
SSRN,SSRN
SSRN Working Paper,SSRN Working Paper Series
SSRN Working Paper Series,SSRN Working Paper Series
Stanford Business Books,Stanford Business Books
Stanford University Press,Stanford University Press
Statistica Sinica,Statistica Sinica
Statistical Analysis and Data Mining,Statistical Analysis and Data Mining
"Stockholm Ctr. for Int’l Law & Justice, Stockholm",Stockholm Center for International Law & Justice
Strategic Management Journal,Strategic Management Journal
Strategy Science,Strategy Science
Studies in Comparative International Development,Studies in Comparative International Development
Studies in Economics and Finance,Studies in Economics and Finance
Studies in Educational Evaluation,Studies in Educational Evaluation
Studies in Family Planning,Studies in Family Planning
Summarized in: What Greece Can Expect? Bloomberg View,Bloomberg
Sustainable Development Solutions Network,Sustainable Development Solutions Network
Swiss Finance Institute Research Paper,Swiss Finance Institute Research Paper
Teaching and Teacher Education,Teaching and Teacher Education
The American Journal of Clinical Nutrition,The American Journal of Clinical Nutrition
The American Journal of Clinical Nutrtion,The American Journal of Clinical Nutrition
The American Journal of Tropical Medicine and Hygiene,The American Journal of Tropical Medicine and Hygiene
The American Statistician,The American Statistician
The Annals of Applied Statistics,Annals of Applied Statistics
"The Annals of the American Academy of Political and Social 
Science",The Annals of the American Academy of Political and Social Science
The Atlantic,The Atlantic
The Behavioral and Brain Sciences,The Behavioral and Brain Sciences
The BMJ,BMJ
The Brookings Institution,The Brookings Institution
The Brookings Institution Center for Universal Education,The Brookings Institution Center for Universal Education
The Brown Journal of World Affairs,The Brown Journal of World Affairs
The Century Foundation,The Century Foundation
The China Quarterly,The China Quarterly
"The China Questions: Critical 
Insights into a Rising Power",The China Questions: Critical Insights into a Rising Power
The Chinese Communist Party: A Century in Ten Lives,The Chinese Communist Party: A Century in Ten Lives
The Chinese Journal of International Politics,The Chinese Journal of International Politics
The Econofact Network,The Econofact Network
The Economic History Review,The Economic History Review
The Economics of Creative Destruction,The Economics of Creative Destruction
The Elementary School Journal,Elementary School Journal
The European Journal of Health Economics,The European Journal of Health Economics
The Health and Human Rights Journal,The Health and Human Rights Journal
The International Journal od Health Planning and Management.,The International Journal od Health Planning and Management.
The International Journal of Behavioral Nutrients and Physical Activity,The International Journal of Behavioral Nutrients and Physical Activity
The International Journal of Tuberculosis and Lung Disease,The International Journal of Tuberculosis and Lung Disease
The Jakarta Post,The Jakarta Post
The Joint Commission Journal on Quality and Patient Safety,The Joint Commission Journal on Quality and Patient Safety
The Jounal of Adolescent Health,The Jounal of Adolescent Health
The Journal of African History,The Journal of African History
The Journal of Antimicrombial Chemotherapy,The Journal of Antimicrombial Chemotherapy
The Journal of Climate Change and Health,The Journal of Climate Change and Health
The Journal of Economic History,The Journal of Economic History
The Journal of Finance,The Journal of Finance
The Journal of Infectious Diseases,The Journal of Infectious Diseases
The Journal of Law and Economics,The Journal of Law and Economics
The Journal of Nutrients,The Journal of Nutrition
The Journal of Nutrition,The Journal of Nutrition
The Journal of Pediatrics,The Journal of Pediatrics
The Journal of Politics,The Journal of Politics
The Lancet,The Lancet
The Lancet Diabetes and Epidemiology,The Lancet Diabetes and Epidemiology
The Lancet Global Affairs,The Lancet Global Health
The Lancet Global Health,The Lancet Global Health
The Lancet Infectious Diseases,The Lancet Infectious Diseases
The Lancet Oncology,The Lancet Oncology
The Lancet Regional Health,The Lancet Regional Health
The Lancet Regional Health: Americas,The Lancet Regional Health: Americas
The London School of Economics and Political Science,The London School of Economics and Political Science
The Los Angeles Times,The Los Angeles Times
The Manchester School,The Manchester School
The Milbank Quarterly,The Milbank Quarterly
The National Interest,The National Interest
The New England Journal of Medicine,The New England Journal of Medicine
The New Republic,The New Republic
The New York Review of Books,The New York Review of Books
The New York Times,The New York Times
The New York Times & The International Herald Tribune,The New York Times & The International Herald Tribune
The Organization of Firms in a Global Economy,The Organization of Firms in a Global Economy
The Quarterly Journal of Economics,The Quarterly Journal of Economics
The Reading League Journal,The Reading League Journal
The Review of Economic Studies,Review of Economic Studies
The Review of Economics and Statistics,Review of Economics and Statistics
The Review of Financial Studies,Review of Financial Studies
The Routledge Handbook of Electoral Law,Routledge Handbook of Electoral Law
The University of Chicago Press,University of Chicago Press
The Washington Post,Washington Post
The World Bank,World Bank
The World Bank Economic Review,World Bank Economic Review
The World Bank Research Observer,World Bank Research Observer
Theory and Research in Education,Theory and Research in Education
Therapeutic advances infectious disease,Therapeutic advances infectious disease
Tilburg University,Tilburg University
Topics in Cognative Science,Topics in Cognitive Science
Transactions of the Royal Society of Tropical Medicine and Hygiene,Transactions of the Royal Society of Tropical Medicine and Hygiene
Transcultural Phychaitry,Transcultural Psychiatry
Translational Lung Cancer Research,Translational Lung Cancer Research
Trends in Biochemical Science,Trends in Biochemical Science
Trends in Cognative Sciences,Trends in Cognitive Sciences
Trials,Trials
Tropical Medicine & International Health,Tropical Medicine & International Health
UK: Academic Press,UK: Academic Press
UNESCO,UNESCO
United States Institue of Peace,United States Institute of Peace
United States Institute of Peace,United States Institute of Peace
United States Institute of Peace Special Report,United States Institute of Peace Special Report
University of California Press,University of California Press
University of Chicago Press,University of Chicago Press
Urban Studies,Urban Studies
Vaccine,Vaccine
Vaccines (Basel),Vaccines (Basel)
Value in Health,Value in Health
"Varkey Foundation Alliances, Global Education & Skills Forum, Research for Equitable Access and Learning","Varkey Foundation Alliances, Global Education & Skills Forum, Research for Equitable Access and Learning"
Virusdiseases,Virusdiseases
Vital Interests,Vital Interests
VOX,VOX
Vox CEPR,Vox CEPR
VoxDev,VoxDev
W.W. Norton & Company,W.W. Norton & Company
Washington Post,Washington Post
Washington: Miller Center of Public Affairs,Miller Center of Public Affairs
West African Journal of Medicine,West African Journal of Medicine
Westview Press,Westview Press
Wharton Pension Research Council Working Paper,Wharton Pension Research Council Working Paper
Wiley-Blackwell,Wiley-Blackwell
World Bank,World Bank
World Bank Economic Review,World Bank Economic Review
World Development,World Development
World Economic Forum,World Economic Forum
World Scientific,World Scientific
"World Trade Evolution: Growth, Productivity and Employment","World Trade Evolution: Growth, Productivity and Employment"
World Trade Rev.,World Trade Review
World Trade Review,World Trade Review
Yale Institution for Social and Policy Studies Blog,Yale Institution for Social and Policy Studies Blog
Zygon,Zygon